frequency,raw
188.55,-1.17
189.64,-1.20
190.74,-1.22
191.85,-1.24
192.97,-1.27
194.09,-1.29
195.22,-1.31
196.35,-1.33
197.49,-1.36
198.64,-1.38
199.79,-1.39
200.95,-1.41
202.12,-1.43
203.30,-1.44
204.48,-1.45
205.66,-1.46
206.86,-1.48
208.06,-1.49
209.27,-1.50
210.49,-1.52
211.71,-1.53
212.94,-1.53
214.18,-1.54
215.42,-1.55
216.67,-1.56
217.93,-1.57
219.20,-1.57
220.47,-1.58
221.75,-1.59
223.04,-1.60
224.34,-1.60
225.64,-1.60
226.95,-1.61
228.27,-1.61
229.60,-1.62
230.93,-1.62
232.27,-1.62
233.62,-1.62
234.98,-1.62
236.35,-1.61
237.72,-1.61
239.10,-1.61
240.49,-1.60
241.89,-1.59
243.29,-1.59
244.71,-1.60
246.13,-1.61
247.56,-1.57
249.00,-1.55
250.45,-1.56
251.90,-1.55
253.36,-1.55
254.84,-1.54
256.32,-1.54
257.81,-1.53
259.31,-1.52
260.81,-1.51
262.33,-1.50
263.85,-1.50
265.39,-1.49
266.93,-1.48
268.48,-1.47
270.04,-1.47
271.61,-1.46
273.19,-1.45
274.77,-1.44
276.37,-1.44
277.98,-1.44
279.59,-1.41
281.22,-1.39
282.85,-1.38
284.49,-1.37
286.15,-1.35
287.81,-1.34
289.48,-1.33
291.16,-1.32
292.86,-1.31
294.56,-1.30
296.27,-1.28
297.99,-1.27
299.72,-1.26
301.46,-1.24
303.22,-1.23
304.98,-1.22
306.75,-1.21
308.53,-1.19
310.32,-1.18
312.13,-1.16
313.94,-1.15
315.77,-1.13
317.60,-1.12
319.45,-1.11
321.30,-1.09
323.17,-1.08
325.05,-1.06
326.94,-1.04
328.84,-1.03
330.75,-1.01
332.67,-0.99
334.60,-0.97
336.55,-0.96
338.50,-0.94
340.47,-0.93
342.45,-0.91
344.44,-0.89
346.44,-0.87
348.45,-0.86
350.48,-0.84
352.51,-0.82
354.56,-0.80
356.62,-0.79
358.69,-0.77
360.78,-0.75
362.87,-0.73
364.98,-0.71
367.10,-0.70
369.24,-0.68
371.38,-0.66
373.54,-0.64
375.71,-0.63
377.89,-0.61
380.09,-0.60
382.30,-0.58
384.52,-0.56
386.75,-0.55
389.00,-0.54
391.26,-0.52
393.54,-0.51
395.82,-0.49
398.12,-0.49
400.44,-0.47
402.76,-0.46
405.10,-0.45
407.46,-0.43
409.83,-0.43
412.21,-0.43
414.60,-0.40
417.01,-0.39
419.43,-0.37
421.87,-0.36
424.32,-0.35
426.79,-0.34
429.27,-0.32
431.76,-0.31
434.27,-0.30
436.80,-0.28
439.33,-0.27
441.89,-0.26
444.45,-0.24
447.04,-0.23
449.63,-0.21
452.25,-0.20
454.87,-0.19
457.52,-0.17
460.18,-0.16
462.85,-0.15
465.54,-0.13
468.25,-0.12
470.97,-0.11
473.70,-0.09
476.46,-0.08
479.22,-0.07
482.01,-0.06
484.81,-0.05
487.63,-0.04
490.46,-0.03
493.31,-0.02
496.18,-0.01
499.06,0.00
501.96,0.01
504.88,0.02
507.81,0.03
510.76,0.04
513.73,0.05
516.71,0.06
519.72,0.07
522.74,0.08
525.77,0.09
528.83,0.10
531.90,0.11
534.99,0.12
538.10,0.13
541.23,0.14
544.37,0.15
547.54,0.16
550.72,0.17
553.92,0.18
557.14,0.18
560.37,0.19
563.63,0.20
566.91,0.21
570.20,0.22
573.51,0.23
576.85,0.22
580.20,0.24
583.57,0.25
586.96,0.26
590.37,0.26
593.80,0.26
597.25,0.27
600.72,0.27
604.21,0.27
607.72,0.27
611.26,0.27
614.81,0.26
618.38,0.26
621.97,0.26
625.59,0.25
629.22,0.24
632.88,0.23
636.56,0.22
640.25,0.21
643.98,0.20
647.72,0.18
651.48,0.17
655.27,0.16
659.07,0.14
662.90,0.13
666.76,0.12
670.63,0.11
674.53,0.09
678.45,0.08
682.39,0.06
686.35,0.05
690.34,0.03
694.35,0.02
698.39,0.00
702.45,-0.02
706.53,-0.04
710.63,-0.06
714.76,-0.07
718.92,-0.09
723.09,-0.11
727.30,-0.14
731.52,-0.16
735.77,-0.17
740.05,-0.19
744.35,-0.22
748.67,-0.24
753.02,-0.26
757.40,-0.29
761.80,-0.31
766.23,-0.34
770.68,-0.36
775.16,-0.39
779.66,-0.41
784.19,-0.44
788.75,-0.46
793.33,-0.48
797.94,-0.51
802.58,-0.52
807.24,-0.54
811.93,-0.56
816.65,-0.58
821.40,-0.60
826.17,-0.61
830.97,-0.63
835.80,-0.65
840.66,-0.66
845.54,-0.68
850.45,-0.69
855.40,-0.71
860.37,-0.72
865.37,-0.74
870.39,-0.75
875.45,-0.76
880.54,-0.78
885.66,-0.78
890.80,-0.79
895.98,-0.80
901.19,-0.80
906.42,-0.80
911.69,-0.79
916.99,-0.78
922.32,-0.76
927.67,-0.73
933.06,-0.70
938.49,-0.66
943.94,-0.63
949.43,-0.58
954.94,-0.54
960.49,-0.49
966.07,-0.45
971.69,-0.41
977.33,-0.37
983.01,-0.34
988.72,-0.31
994.47,-0.29
1000.25,-0.26
1006.06,-0.24
1011.91,-0.22
1017.79,-0.21
1023.70,-0.19
1029.65,-0.18
1035.63,-0.17
1041.65,-0.16
1047.70,-0.15
1053.79,-0.14
1059.91,-0.14
1066.07,-0.13
1072.27,-0.13
1078.50,-0.13
1084.76,-0.12
1091.07,-0.12
1097.41,-0.11
1103.78,-0.11
1110.20,-0.10
1116.65,-0.09
1123.14,-0.07
1129.66,-0.05
1136.23,-0.04
1142.83,-0.01
1149.47,0.01
1156.15,0.04
1162.87,0.07
1169.63,0.11
1176.42,0.14
1183.26,0.18
1190.13,0.21
1197.05,0.25
1204.01,0.29
1211.00,0.33
1218.04,0.38
1225.12,0.42
1232.24,0.47
1239.40,0.52
1246.60,0.57
1253.84,0.63
1261.13,0.68
1268.46,0.73
1275.83,0.79
1283.24,0.84
1290.70,0.89
1298.20,0.94
1305.74,0.99
1313.33,1.03
1320.96,1.07
1328.63,1.10
1336.36,1.13
1344.12,1.16
1351.93,1.17
1359.79,1.22
1367.69,1.28
1375.64,1.32
1383.63,1.40
1391.67,1.46
1399.76,1.53
1407.89,1.59
1416.07,1.66
1424.30,1.72
1432.58,1.78
1440.90,1.84
1449.27,1.89
1457.69,1.95
1466.16,2.00
1474.68,2.06
1483.25,2.11
1491.87,2.16
1500.54,2.20
1509.26,2.25
1518.03,2.30
1526.85,2.34
1535.72,2.38
1544.65,2.42
1553.62,2.46
1562.65,2.50
1571.73,2.53
1580.86,2.57
1590.05,2.60
1599.29,2.64
1608.58,2.67
1617.93,2.70
1627.33,2.73
1636.79,2.77
1646.30,2.79
1655.86,2.83
1665.49,2.85
1675.16,2.88
1684.90,2.91
1694.69,2.94
1704.54,2.97
1714.44,2.99
1724.40,3.02
1734.42,3.05
1744.50,3.08
1754.64,3.11
1764.83,3.14
1775.09,3.17
1785.40,3.20
1795.78,3.24
1806.21,3.26
1816.71,3.29
1827.27,3.31
1837.88,3.33
1848.56,3.35
1859.30,3.37
1870.11,3.38
1880.98,3.40
1891.91,3.41
1902.90,3.43
1913.96,3.45
1925.08,3.48
1936.26,3.53
1947.52,3.58
1958.83,3.64
1970.21,3.71
1981.66,3.78
1993.18,3.85
2004.76,3.92
2016.41,3.99
2028.13,4.06
2039.91,4.13
2051.76,4.21
2063.69,4.28
2075.68,4.36
2087.74,4.43
2099.87,4.51
2112.07,4.58
2124.35,4.65
2136.69,4.73
2149.11,4.80
2161.59,4.89
2174.15,4.98
2186.79,5.07
2199.50,5.15
2212.28,5.26
2225.13,5.37
2238.06,5.48
2251.07,5.59
2264.15,5.70
2277.30,5.82
2290.54,5.94
2303.85,6.05
2317.23,6.15
2330.70,6.26
2344.24,6.35
2357.86,6.45
2371.56,6.53
2385.34,6.61
2399.21,6.68
2413.15,6.74
2427.17,6.80
2441.27,6.84
2455.46,6.88
2469.73,6.91
2484.08,6.94
2498.51,6.97
2513.03,7.00
2527.63,7.02
2542.32,7.02
2557.09,7.02
2571.95,7.00
2586.90,6.99
2601.93,7.00
2617.05,7.01
2632.26,7.03
2647.55,7.05
2662.94,7.06
2678.41,7.07
2693.97,7.07
2709.63,7.06
2725.37,7.05
2741.21,7.04
2757.14,7.01
2773.16,6.99
2789.27,6.95
2805.48,6.91
2821.78,6.87
2838.18,6.84
2854.67,6.79
2871.26,6.75
2887.94,6.70
2904.72,6.65
2921.60,6.60
2938.58,6.54
2955.66,6.49
2972.83,6.43
2990.10,6.37
3007.48,6.31
3024.96,6.25
3042.53,6.19
3060.21,6.13
3077.99,6.06
3095.88,6.01
3113.87,5.96
3131.96,5.93
3150.16,5.91
3168.47,5.91
3186.88,5.90
3205.40,5.90
3224.02,5.89
3242.76,5.89
3261.60,5.90
3280.55,5.92
3299.62,5.96
3318.79,6.00
3338.07,6.06
3357.47,6.13
3376.98,6.21
3396.60,6.32
3416.34,6.43
3436.19,6.53
3456.16,6.63
3476.24,6.71
3496.44,6.79
3516.76,6.88
3537.19,6.95
3557.75,7.02
3578.42,7.09
3599.21,7.16
3620.13,7.23
3641.16,7.31
3662.32,7.39
3683.60,7.48
3705.01,7.57
3726.54,7.66
3748.19,7.72
3769.97,7.78
3791.88,7.82
3813.91,7.85
3836.07,7.88
3858.36,7.92
3880.78,7.95
3903.34,7.98
3926.02,8.00
3948.83,8.02
3971.78,8.04
3994.85,8.05
4018.07,8.06
4041.42,8.07
4064.90,8.10
4088.52,8.11
4112.28,8.11
4136.17,8.08
4160.21,8.05
4184.38,8.02
4208.70,8.01
4233.15,8.01
4257.75,8.03
4282.49,8.06
4307.38,8.07
4332.41,8.08
4357.58,8.09
4382.90,8.09
4408.37,8.11
4433.99,8.13
4459.75,8.16
4485.66,8.19
4511.73,8.22
4537.95,8.24
4564.32,8.26
4590.84,8.27
4617.51,8.28
4644.35,8.29
4671.33,8.29
4698.48,8.28
4725.78,8.26
4753.24,8.22
4780.86,8.16
4808.64,8.10
4836.58,8.06
4864.69,8.03
4892.95,8.04
4921.39,8.06
4949.98,8.07
4978.75,8.08
5007.68,8.09
5036.78,8.10
5066.04,8.06
5095.48,7.95
5125.09,7.73
5154.87,7.38
5184.83,6.90
5214.95,6.38
5245.26,5.90
5275.74,5.58
5306.39,5.43
5337.23,5.45
5368.24,5.58
5399.43,5.77
5430.81,5.96
5462.37,6.12
5494.11,6.25
5526.03,6.36
5558.14,6.45
5590.44,6.52
5622.92,6.57
5655.60,6.58
5688.46,6.56
5721.52,6.51
5754.76,6.44
5788.20,6.36
5821.84,6.28
5855.67,6.19
5889.69,6.10
5923.91,6.01
5958.34,5.93
5992.96,5.85
6027.78,5.76
6062.81,5.65
6098.04,5.54
6133.47,5.42
6169.11,5.31
6204.96,5.20
6241.02,5.07
6277.28,4.95
6313.76,4.82
6350.45,4.69
6387.35,4.56
6424.46,4.43
6461.80,4.31
6499.34,4.19
6537.11,4.06
6575.10,3.92
6613.30,3.77
6651.73,3.62
6690.38,3.48
6729.26,3.36
6768.36,3.25
6807.69,3.18
6847.25,3.12
6887.04,3.10
6927.06,3.07
6967.31,3.04
7007.79,2.99
7048.51,2.94
7089.47,2.87
7130.67,2.82
7172.10,2.78
7213.78,2.76
7255.69,2.76
7297.86,2.77
7340.26,2.78
7382.92,2.79
7425.82,2.79
7468.97,2.81
7512.37,2.84
7556.02,2.87
7599.93,2.89
7644.09,2.90
7688.51,2.91
7733.18,2.94
7778.12,2.99
7823.31,3.05
7868.77,3.11
7914.50,3.16
7960.49,3.20
8006.74,3.24
8053.27,3.27
8100.07,3.30
8147.13,3.36
8194.47,3.43
8242.09,3.52
8289.98,3.59
8338.16,3.59
8386.61,3.50
8435.34,3.35
8484.36,3.14
8533.66,2.90
8583.24,2.63
8633.12,2.31
8683.28,1.92
8733.74,1.46
8784.49,0.96
8835.54,0.42
8886.88,-0.14
8938.52,-0.75
8990.46,-1.41
9042.70,-2.16
9095.24,-2.99
9148.09,-3.85
9201.25,-4.69
9254.72,-5.50
9308.50,-6.34
9362.59,-7.34
9416.99,-8.53
9471.71,-9.68
9526.75,-10.40
9582.11,-10.55
9637.79,-10.48
9693.79,-10.41
9750.12,-10.31
9806.77,-10.06
9863.76,-9.69
9921.08,-9.18
9978.72,-8.60
10036.71,-7.92
10095.03,-7.12
10153.69,-6.22
10212.69,-5.31
10272.03,-4.40
10331.72,-3.42
10391.76,-2.35
10452.14,-1.22
10512.88,-0.17
10573.97,0.79
10635.41,1.73
10697.21,2.63
10759.37,3.43
10821.89,4.02
10884.77,4.34
10948.02,4.34
11011.64,4.10
11075.63,3.71
11139.98,3.32
11204.72,3.09
11269.82,3.00
11335.31,3.01
11401.18,3.07
11467.43,3.13
11534.06,3.09
11601.08,2.95
11668.50,2.83
11736.30,2.86
11804.50,3.06
11873.09,3.32
11942.08,3.55
12011.48,3.77
12081.27,3.98
12151.47,4.09
12222.08,4.02
12293.10,3.75
12364.54,3.29
12436.38,2.69
12508.65,1.97
12581.33,1.14
12654.44,0.18
12727.97,-0.99
12801.93,-2.44
12876.32,-4.25
12951.14,-6.39
13026.40,-8.74
13102.09,-11.09
13178.23,-13.06
13254.80,-14.02
13331.82,-14.07
13409.29,-13.76
13487.21,-13.43
13565.58,-13.31
13644.41,-13.41
13723.69,-13.72
13803.44,-14.28
13883.65,-15.19
13964.32,-16.57
14045.47,-18.65
14127.08,-22.60
14209.17,-22.04
14291.74,-18.15
14374.79,-16.34
14458.31,-15.61
14542.33,-15.65
14626.83,-16.20
14711.83,-17.07
14797.31,-18.31
14883.30,-20.05
14969.78,-22.29
15056.77,-24.41
